      |=======================================|  
667:  "Hunh? PROF. BIRCH?\p"
668:  "PROF. apsens et in ruri laborans est.\n"
669:  "Ergo, is non hoc est."
670:  "O, explicabi tibi laborem ruribus.\p"
671:  "Quaeritur res nescitae in circumiectis\n"
672:  "naturalibus, sicut agris ac montibus,\l"
673:  "pro laboratorio.\p"
674:  "PROF. non est vir scriptorii.\n"
675:  "Est vir, qui potius ibat forat, ut\l"
676:  "experientias conetur quam legeret de\l"
677:  "eis.$"
680:  "PROF. non placet opus scriptorio.\n"
681:  "Ille id exemplar viri est, quid potius\l"
682:  "exeat et experiatur res quam legere de\l"
683:  "eas hoc.$"
686:  "PROF. BIRCH perquirit habitationes et\n"
687:  "distributiones POKéMON.\p"
688:  "Auxilium a {RIVAL} PROF. etiam placet.\n"
689:  "Sunt multa philia ibi.$"
692:  "PROF. BIRCH: So, {PLAYER}{KUN}.\p"
693:  "De te multas res audivi\n"
694:  "a patre tuo.\p"
695:  "Audivi te iam non habere POKéMON tuum\n"
696:  "ipsum.\p"
697:  "Autem modo antehac certavisti, a te\n"
698:  "mire superatur est!\p"
699:  "Suspicor te sanguinem patris tui in\n"
700:  "venis tuis tamen habere!\p"
701:  "O, recte. Propter salvationem tuam\n"
702:  "mihi, te dare volo illum POKéMON ipsum,\l"
703:  "quem tu duxisti"
704:  "[PLAYER] accepit {STR_VAR_1}!$"
707:  "PROF. BIRCH: Cum hoc facis, quare non\n"
708:  "appelas huic {STR_VAR_1} cognomentum?$"
711:  "PROF. BIRCH: Si studeas cum POKéMON\n"
712:  "et experiendus es, puto te futurum esse\l"
713:  "enim permagnus TRAHATOR.\p"
714:  "Puer meus, {RIVAL}, autem studet cum\n"
715:  "POKéMON cum mihi auxiliante."
716:  "{PLAYER}{KUN}, nonne putas esse bonam\n"
717:  "ideam videndum {RIVAL}?$"
720:  "PROF. BIRCH: Magnopere!\n"
721:  "{RIVAL} se etiam gaudebit.\p"
722:  "Inveni {RIVAL}, ut tibi doceat\n"
723:  "significationem esse TRAHATOR.$"
726:  "PROF. BIRCH: O, noli esse sic.\n"
727:  "In vicem, congredere puerum meum.$"
730:  "PROF. BIRCH: {RIVAL}?\n"
731:  "Revertit domum, puto.\p"
732:  "Vel lascivit iterum aliquo circum et in\n"
733:  "graminibus altis...\p"
734:  "Si tu vel POKéMON tui defatigati sunt,\n"
735:  "decet tibi requiscere domi$"
738:  "PROF. BIRCH: Oh, salve, {PLAYER}{KUN}!\p" 
739:  "Audivi te ganare adversus {RIVAL} et\n"
740:  "primo attentato. Excellens!\p"
741:  "Auxiliatus sum in investigatione mea\n"
742:  "diu a {RIVAL}\p"
743:  "{RIVAL} habet longam historiam iam\n"
744:  "TRAHENTIS POKéMON.\p"
745:  "Accipe, {PLAYER}{KUN}, comparavi eum\n"
746:  "propter investigationem meam, sed\l"
747:  "melior sit si habeas hunc POKéDEX$"
750:  "{PLAYER} POKéDEX accepit!$" 
753:  "PROF. BIRCH: POKéDEX instrumentum est\n"
754:  "altae technologiae recordandi\l"
755:  "quidlibet POKéMON inventis captisque.\p"
756:  "Puer meus, {RIVAL}, circumit ubique cum\n"
757:  "eo.\p"
758:  "Quandocumque puer meus capit POKéMON\n"
759:  "rarum et notat data eius in POKéDEX,\l"
760:  "quaerit me laborantem foris in ruri, ut\l"
761:  "mihi exhibeat.$"
764:  "PROF. BIRCH: Innumerabilis POKéMON te\n"
765:  "sperant!\p"
766:  "Argh, memini, debeo exire hinc iterum\n"
767:  "laborare in ruri!$"
770:  "MAY: O, wow, {PLAYER}{KUN}!\n" 
771:  "Quoque habes POKéDEX tuum ipsum!\p"
772:  "Optimum! Sicut me!\n"
773:  "Tibi ego insuper custodivi quidam!$"
776:  "MAY: Gaudium sequi si quis capiat multa\n"
777:  "POKéMON!\p"
778:  "Circumspiciam usquequaque quia volo\n"
779:  "omnem differens POKéMON.\p"
780:  "Si invenio quem bellum POKéMON, capiam\n"
781:  "illos cum POKé BALLS!$"
