31:   "Ille CUNICULUS FERRINEMI illic…\p"
32:   "Primum classem magnam fodientem\n"
33:   "per petram machina novissima habuimus.\l"
34:   "Tamen, nobis sistendum fuit.\p"
35:   "Evenit enim nobis, ut nos POKéMON\n"
36:   "silvestres in illo loco male\l"
37:   "affecissemus.\p"
38:   "Ergo, nobis nullum faciendum est nisi\n"
39:   "muginare hic facientes nihil.$"
42:   "Vir est fodiens viam ad VIRIDINEMUS\n"
43:   "omnino per solitudinem eius.\l"
44:   "Desperatus est ob transeundum.\p"
45:   "Dicit, ut si fodit paulatim sine\n"
46:   "utendo machinis, non disturbabit\l"
47:   "POKéMON, et evitabit vulnerare\l"
48:   "circumiectum naturalem.\p"
49:   "Volebam scire utrum iam perfecit.$"
52:   "Ob ad VIRIDINEMUS ire sine utendo hoc\n"
53:   "cuniculo, est necesse transire mare ad\l"
54:   "CASTRUM AQUARUM, naviga ad PORTUM\l"
55:   "SAXEUM, tunc i per VILLAS MALVARUM.$"
58:   "Audivistine? Cuniculus ad VIRIDINEMUS\n"
59:   "perfectus est!\p"
60:   "Interdum, si vero aliquod quaeris,\n"
61:   "sunt somni facti veritatem.$"
