25:   "Isto vulto certo…\n"
26:   "Isto modo lento movendi tui…\l"
27:   "Et POKéMON exercitatissimis tuis…\p"
28:   "Aperte TRAHITOR peritus es!\p"
29:   "Non, mane, ne ulla verba dicas.\n"
30:   "Dicere solum te spiciendo possum.\p"
31:   "Sum certus, quod hac MACHINA LATENTI\n"
32:   "ad bonum usum uti poteris.\p"
33:   "Non est necesse verecundus esse.\n"
34:   "I, accipe id!$"
37:   "Illa MACHINA LATENS, vel abbrevians ML,\n"
38:   "est SCISSIO.\p"
39:   "Motus ML est motus, quo a POKéMON\n"
40:   "ex certamine uti potest.\p"
41:   "Omnis POKéMON, qui SCISSIONEM didicit,\n"
42:   "caedere arbores tenuies potest si\l"
43:   "TRAHITOR INSIGNE LAPIDE meritus est.\p"
44:   "Et, dissimiliter MA, uti potest ML\n"
45:   "plus quam semel.$"
48:   "Cum urbem FERRIBORI expanderunt, \n"
49:   "pater meus auxiliabitur.\p"
50:   "POKéMON suis uti SCISSIONE duxit\n"
51:   "causa loci purgandi arboribus.$"
