201:  "DOM. PETRAEUS sum, PRAEFECTUS\n"
202:  "SOCIETATIS DEVON.\p"
203:  "Modo de te verbum recipi!\p"
204:  "Officium nostrum cum semel, tum bis,\n"
205:  "salvasti!\p"
206:  "Gratiam ab viro tam mirabili quam te,\n"
207:  "habeo petendum.\p"
208:  "Intellego quod ad NAVALE PORTUS SAXEI\n"
209:  "fasciculum transportas.\p"
210:  "Bene, in itinere, possisne subsistere\n"
211:  "in CASTO AQUARUM?\p"
212:  "Sperabam te unam epistulam ad AURELIUM\n"
213:  "in CASTO AQUARUM transportare.$"
216:  "DOM. PETRAEUS: Nunc, debes scire, quod\n"
217:  "sum PRESIDENT magnus.\p"
218:  "Igitur, numquam tam avarus essem, ut\n"
219:  "tibi gratiam peteret sine retribuendo.\p"
220:  "Hoc ratio est qua tibi hoc habere volo!$"
223:  "{PLAYER} POKéNAV accepit.$"
226:  "DOM. PETRAEUS: Machina ista…\p"
227:  "POKéMON NAVIGATOR est, vel POKéNAV\n"
228:  "abbreviando.\p"
229:  "Est instrumentum maximi necessitatis\n"
230:  "pro quoque TRAHITORE in ambage.\p"
231:  "Tabulam regiones HOENN habet.\p"
232:  "Potes facillime spicere locos\n"
233:  "CASTRI AQUARUM et PORTI SAXEUM!\p"
234:  "Obiter, audivi quia malefactores\n"
235:  "sinistros--MAGMAE et AQUAE, puto--\l"
236:  "molestias per totam provinciam faciunt.\p"
237:  "Credo tibi esse optimum si quiescas\n"
238:  "paulum ante te egredi in viam tuam.$"
241:  "DOM. PETRAEUS: Bene, {PLAYER}{KUN},\n"
242:  "nunc, vade cum cautione et diligentia!$"
245:  "DOM. PETRAEUS: Tibi tantum fido!$"
248:  "DOM: PETRAEUS: EPISTULAM attulisti?\n"
249:  "Benigne ago tibi gratias!\p"
250:  "Hoc est modus meus gratiarum agendorum.\n"
251:  "Te certe adiuvabit, TRAHITOREM.$"
254:  "DOM. PETRAEUS: POKéMON habens istum\n"
255:  "DIVISOREM PER. nonnulla meretur ex\l"
256:  "Punctis PER certaminum.\p"
257:  "Meretur Puncta PER etiamsi revera non\n"
258:  "certavit.\p"
259:  "Dicerem DIVISOREM EXP. per utilem\n"
260:  "ad educandos POKéMON infirmos esse.$"
263:  "DOM. PETRAEUS: Ab adulescentia mea,\n"
264:  "memet in opere meo mergo.\p"
265:  "Consequenter, de novitates vel id genus\n"
266:  "rerum non ulla inaudivi.\p"
267:  "Sed voluntne omnes iuvenes esse\n"
268:  "TRAHITOREM in LIGA POKéMON?$"
271:  "Hoc est SOCIETATIS DEVON\n"
272:  "scalae tertiae.\p"
273:  "SCRIPTORIUM PRAEFECTI nostri est in\n"
274:  "his scalis.\p"
275:  "Utcumque, Non tibi dicere possum quam\n"
276:  "gratus sum propter id, quod fecisti.\p"
277:  "Um… De propositum, fasciculum istum,\n"
278:  "quem pro nobis reduxisti…\p"
279:  "Licet mihi facere, ut transportares\n"
280:  "istum ad NAVALE in PORTU SAXEO?\p"
281:  "Esset terribile si malefactores illi\n"
282:  "id iterum capere conarentur.\p"
283:  "Uh… Hehehe, tunc, uh, possum fidere,\n"
284:  "ut facias hoc pro me?\p"
285:  "O, rectum.\n"
286:  "Potes manere hic unum momentum?$"
289:  "PRAEFECTUS noster vult verbum habere\n"
290:  "tecum.\p"
291:  "Quaeso, venias cum me.$"
294:  "Peto, procede.$"
297:  "Si ad NAVALE in PORTU SAXEO adeas,\n"
298:  "decet tibi videndum NAUAR. PUPPIUM ire.$"
301:  "Poventus novi DEVON, REPETITIO BALL\n"
302:  "et CHRONO BALL, celeberrima sunt facta\l"
303:  "apud TRAIHITORES.$"
306:  "Collectio lapidum rarorum et\n"
307:  "petrarum collectorum a PRAEFECTO est.$"
