203:  "Tabula recenset mutationes status,\n"
204:  "quae POKéMON in certamine afficiunt.$"
207:  "De quod thema velisne legere?$"
210:  "Si POKéMON venerabitur, constanter\n"
211:  "perdet SL.\p"
212:  "Affectio veneni remanet etiam post\n"
213:  "certamen.\p"
214:  "SL POKéMON venenati cadet dum\n"
215:  "is ambulat.\p"
216:  "Sanas venenatum utendo ANTIDOTO.$"
219:  "Si POKéMON paralysim datus est,\n"
220:  "CELERITAS eius cadet.\p"
221:  "Fieri potest etiam ut non possit movere\n"
222:  "dum in certamine est.\p"
223:  "Paralysis remanet post certamen.\n"
224:  "Sanas eum utendo SANA PARALYSIM.$"
227:  "Si POKéMON adormiscit, not poterit\n"
228:  "impetere.\p"
229:  "POKéMON per se ipsum exsurgat,\n"
230:  "autem si certamen finitur cum is\l"
231:  "dormit, manebit dormiens.\p"
232:  "Expergas utendo EXPERGITIONE.$"
235:  "Adustio vim IMPETI minuit, et\n"
236:  "constanter SL vulnerati minuit.\p"
237:  "Adustio post certamen haeret.\n"
238:  "Sanas adustium utendo SANA ADUSTUM.$"
241:  "Si POKéMON gelatus est, erit\n"
242:  "omnino inops.\p"
243:  "Remanet gelatus post certamen.\n"
244:  "Regeles eum utendo SANA GELUM.$"
247:  "Discipuli, qui non student, temptabunt\n"
248:  "paululum UNGUIS CELERIS mei.\p"
249:  "Utrum bonus discipulis sis an necne\n"
250:  "erit manifestum per modum utendi tui\l"
251:  "re hac.$"
254:  "POKéMON habens UNGUEM CELEREM interdum\n"
255:  "accelerabit et poterit movere\l"
256:  "ante adversarium suum.\p"
257:  "Sunt multae alias res, quae sunt\n"
258:  "habendae ab POKéMON.\p"
259:  "Modo haec sola tibi themata multa\n"
260:  "studenda dabunt!$"
263:  "Commuto POKéMON cum amico meo\n"
264:  "enim nunc.$"
267:  "Semper SEEDOT volui, et postremo\n"
268:  "unum dabitur mihi!$"
271:  "POKéMON res habere potunt, sed non quod\n"
272:  "faciundum de rebus artificialibus velut\l"
273:  "POTIONIBUS vel ANTIDOTIS est sciunt.$"
276:  "Noscesne quomodo aliquae motus POKéMON\n"
277:  "POKéMON stupefacere potunt?\p"
278:  "POKéMON stupefactus interdum impetet\n"
279:  "semetipsum sine volendo.\p"
280:  "Sed cum certamen exit, revertet\n"
281:  "ad mentem solitam.$"
284:  "POKéMON habens BACCAM semetipsum\n"
285:  "sanabit…\p"
286:  "Sunt genera multa rerum, quas\n"
287:  "POKéMON habere possunt…\p"
288:  "Puer, est vero per difficile notare\n"
289:  "haec omnia…$"
292:  "Sunt adversaria discipuli huius…\p"
293:  "POKéMON captandi sunt utendo\n"
294:  "POKé BALLS.\p"
295:  "Usque ad sex POKéMON possunt comitare\n"
296:  "TRAHITOREM.\p"
297:  "TRAHITOR est enim aliqui, qui POKéMON\n"
298:  "capit, eos educat, et certat animose\l"
299:  "cum eis.\p"
300:  "Opus TRAHITORIS est vincere omnes\n"
301:  "TRAHITORES fortes, qui provocatores\l"
302:  "in GYMNIBUS POKéMON expectant.$"
305:  "Salve? Nonne iam congressi sumus?\n"
306:  "Credo in URBE PETALIBURGI.\p"
307:  "Patere, ut me introducam.\n"
308:  "Nomen mihi SCOTUS est.\p"
309:  "Per locos omnes circumambulo quaerens\n"
310:  "TRAHITORES praestantes.\p"
311:  "Imprimis quaero, ut inveniam expertus\n"
312:  "certaminum POKéMON.\p"
313:  "Tunc, quid te ad SCHOLAM hanc misit?\n"
314:  "TRAINER est, etiamne?\p"
315:  "Primum, quid tibi faciendum est, est\n"
316:  "POKéMON motum SCISSIONIS doceri.\p"
317:  "Si recte memini, quidam in oppido\n"
318:  "hoc SCISSIONEM habet.$"
321:  "SCOTUS: Hmm…\p"
322:  "Mensurae indolis discipulorum horum\n"
323:  "ingnotae sunt. Tamen ingenium est.$"
326:  "SCOTUS: O, quid est?\p"
327:  "INSIGNE LAPIDE est, nonne?\n"
328:  "Commovens est, dico ego.\p"
329:  "Tamen, scisne, amaverim te videre\n"
330:  "in certamine.\p"
331:  "Est difficile dicere quomodo sis ut\n"
332:  "TRAHITOR ab uno INSIGNE LIGAE.$"
335:  "Salve? Nonne iam congressi sumus?\n"
336:  "Credo retro in URBE PETALIBURGI.\p"
337:  "Patere, ut me introducam.\n"
338:  "Nomen mihi est Scotus.\p"
339:  "Per locos omnes circumambulo quaerens\n"
340:  "TRAHITORES praestantes..\p"
341:  "Imprimis quaero, ut inveniam expertus\n"
342:  "certaminum POKéMON.\p"
343:  "O, quid est?\n"
344:  "INSIGNE LAPIDE est, nonne?\p"
345:  "Per commovens est, dico ego, pro uno\n"
346:  "TRAHITORE incipiente sicut temetipsum.\p"
347:  "Tamen, scisne, amaverim te videre\n"
348:  "in certamine.\p"
349:  "Est difficile dicere quomodo sis ut\n"
350:  "TRAHITOR ab uno INSIGNE LIGAE.$"
